Datetime,month,dayofweek,hour,Temperature,Humidity,Zone A_lag1,Zone B_lag1,Zone C_lag1,Zone A_lag3,Zone B_lag3,Zone C_lag3,Zone A_lag6,Zone B_lag6,Zone C_lag6,Zone A_rollmean_1h,Zone B_rollmean_1h,Zone C_rollmean_1h,Zone A_rollstd_1h,Zone B_rollstd_1h,Zone C_rollstd_1h,Zone A,Zone B,Zone C
2017-12-27 12:40:00,12,2,12,16.43,53.34,34384.79087,26927.27831,10510.44418,29067.68061,23200.9819,8977.671068,23227.37643,19375.26849,9277.310924,34198.225601666665,27370.359004999995,10555.582231666667,220.17995797417132,273.38693065121737,197.28357178458768,34056.27376,27737.34274,10642.97719
2017-12-27 12:50:00,12,2,12,16.23,53.97,34445.62738,27133.47653,10354.86194,29177.18631,23432.95489,9133.253301,23093.53612,19209.57349,9208.163265,34129.277565,27488.186558333327,10646.818726666666,189.9034595084159,301.75044308452846,211.9296054981064,34031.93916,27840.44185,10902.28091
2017-12-27 13:00:00,12,2,13,16.33,54.27,34068.44106,27177.66186,10279.95198,29371.86312,23834.305,9329.171669,22740.68441,19581.46671,8839.37575,34056.27376333334,27634.24363166666,10756.30252,280.5347839899777,331.96227677076456,142.9547212498116,33630.41825,28054.0043,10936.85474
2017-12-27 13:10:00,12,2,13,16.56,53.5,33910.26616,27081.92697,10573.82953,30016.73004,24220.92666,9409.843938,22959.69582,19725.06904,8470.588235,33965.019009999996,27738.57011166666,10822.569026666666,400.8012922243044,192.90420471595505,133.27834596260752,33362.73764,27707.88585,10971.42857
2017-12-27 13:20:00,12,2,13,16.83,51.6,34275.28517,27567.96563,10769.7479,30880.60837,24633.32311,9588.47539,23324.71483,19445.2286,7658.103241,33810.89987166666,27736.729056666663,10830.2521,434.0447452657097,194.90046295419785,130.9324504554102,33350.57034,27556.9193,10815.84634
2017-12-27 13:30:00,12,2,13,17.08,55.34,34433.46008,27523.7803,10712.12485,31148.28897,25141.45443,9732.533013,23397.71863,19080.6996,7508.283313,33638.529781666664,27711.567964999995,10835.05402,330.32969366155896,233.76041005955642,126.17561945960021,33399.23954,27372.81375,10740.93637
2017-12-27 13:40:00,12,2,13,16.2,60.35,34056.27376,27737.34274,10642.97719,31525.47529,25406.56643,9905.402161,23057.03422,18926.05094,7421.848739,33526.99619500001,27652.040503333334,10858.10324,268.20549982130615,268.7428228477869,92.10079008300542,33387.07224,27380.17797,10781.27251
2017-12-27 13:50:00,12,2,13,15.79,60.98,34031.93916,27840.44185,10902.28091,32462.35741,25830.00921,10124.36975,23008.36502,18668.30316,7404.561825,33397.21165833333,27494.937098333332,10830.2521,125.36846839493539,386.36148959846963,100.91439538924868,33253.23194,26897.82142,10735.17407
2017-12-27 14:00:00,12,2,14,16.12,59.71,33630.41825,28054.0043,10936.85474,32474.52471,26043.57165,10124.36975,23482.88973,19077.01749,7606.242497,33336.37515666667,27349.493709999995,10754.381751666668,62.23983283804411,284.68854635299596,159.09249857205833,33265.39924,27181.34397,10481.63265
2017-12-27 14:10:00,12,2,14,16.42,59.18,33362.73764,27707.88585,10971.42857,33180.22814,26054.61798,10320.28812,24115.58935,19603.55937,7692.677071,33314.068439999995,27264.805156666665,10642.016806666667,73.81049634823819,226.3545147515407,206.23631872253378,33228.89734,27199.75453,10297.2389
2017-12-27 14:20:00,12,2,14,16.13,59.08,33350.57034,27556.9193,10815.84634,33679.08745,26452.28598,10619.92797,24407.60456,19993.86315,7854.021609,33271.48288833333,27232.893526666663,10571.908763333333,112.24293349522223,187.01354715735533,206.82313532825583,33095.05703,27365.44952,10395.19808
2017-12-27 14:30:00,12,2,14,15.9,59.11,33399.23954,27372.81375,10740.93637,33885.93156,26809.45075,10579.59184,25551.3308,20362.07426,8113.32533,33168.060835000004,27271.555691666665,10527.731093333334,212.28365512239162,238.59113533939583,191.2182482898387,32778.70722,27604.78674,10475.87035
2017-12-27 14:40:00,12,2,14,16.09,57.04,33387.07224,27380.17797,10781.27251,34384.79087,26927.27831,10510.44418,25831.17871,20667.68948,8078.751501,33046.38783166667,27296.103098333333,10449.939976666667,264.45341307625097,258.7286792785734,159.80399762033176,32657.03422,27527.46241,10314.52581
2017-12-27 14:50:00,12,2,14,16.31,53.84,33253.23194,26897.82142,10735.17407,34445.62738,27133.47653,10354.86194,26281.36882,20940.16569,8176.710684,32912.54752666667,27387.542189999996,10402.881153333334,333.12637636554643,172.34482482490776,81.30092767082822,32450.19011,27446.45597,10452.82113
2017-12-27 15:00:00,12,2,15,16.23,53.1,33265.39924,27181.34397,10481.63265,34068.44106,27177.66186,10279.95198,26962.73764,21352.56214,8493.637455,32762.484155,27449.52439333333,10387.515006666667,344.97390191660236,148.593444763326,71.5702082238944,32365.01901,27553.23719,10389.43577
2017-12-27 15:10:00,12,2,15,16.21,51.5,33228.89734,27199.75453,10297.2389,33910.26616,27081.92697,10573.82953,27619.77186,22052.16324,8672.268908,32584.030415,27504.75605833333,10418.247298333334,332.1472437444905,85.29208482463886,64.2697228427754,32158.1749,27531.14452,10481.63265
