date,conso_mean,conso_std,conso_max,conso_min,incident_rate,zone,cluster,risk_cluster,priority_score,complaint_proba,nb_complaints,complaints_norm,priority_score_v2
2017-01-01,28465.232067083332,6864.7703009690795,40611.64557,18045.56962,0.006944444444444444,Zone A,1,0,0.00486111111111111,0.02347222222222222,1,0.0625,0.019097222222222224
2017-01-02,28869.493670625,7024.636275244104,41851.13924,19740.75949,0.0,Zone A,1,0,0.0,0.02,3,0.1875,0.046875
2017-01-03,30562.447257291667,7251.087858774825,42993.41772,19989.87342,0.0,Zone A,1,0,0.0,0.02,1,0.0625,0.015625
2017-01-04,30689.831223611112,7138.971134837537,43485.56962,19479.49367,0.0,Zone A,1,0,0.0,0.02,1,0.0625,0.015625
2017-01-05,30802.911392847225,7294.297358304255,43831.89873,20737.21519,0.0,Zone A,1,0,0.0,0.02,0,0.0,0.0
2017-01-06,30712.236287083335,6856.587946077544,43175.6962,21241.51899,0.0,Zone A,1,0,0.0,0.02,0,0.0,0.0
2017-01-07,30612.70042166667,6527.965353653078,41687.08861,21332.65823,0.0,Zone A,1,0,0.0,0.02,0,0.0,0.0
2017-01-08,29559.915611944445,7098.970634819043,41796.4557,19430.88608,0.0,Zone A,1,0,0.0,0.02,2,0.125,0.03125
2017-01-09,30540.253164583333,7467.091915025741,43752.91139,19576.70886,0.0,Zone A,1,0,0.0,0.02,1,0.0625,0.015625
2017-01-10,31863.291138333334,7227.8239115683955,44627.8481,21527.08861,0.0,Zone A,1,0,0.0,0.02,1,0.0625,0.015625
2017-01-11,31057.763713194447,7218.964089477505,43856.20253,20810.12658,0.0,Zone A,1,0,0.0,0.02,0,0.0,0.0
2017-01-12,32075.94936736111,7202.351596880138,44646.07595,21612.1519,0.0,Zone A,1,0,0.0,0.02,3,0.1875,0.046875
2017-01-13,31476.075949375,6763.527918859455,43789.36709,22049.62025,0.0,Zone A,1,0,0.0,0.02,2,0.125,0.03125
2017-01-14,30834.683544375002,6672.582222600045,42586.32911,21897.72152,0.006944444444444444,Zone A,1,0,0.00486111111111111,0.02347222222222222,0,0.0,0.003472222222222222
2017-01-15,26771.5189875,9341.98010724828,42604.55696,13895.6962,0.4513888888888889,Zone A,2,1,0.6159722222222221,0.2956944444444444,12,0.75,0.6631944444444444
2017-01-16,30587.257384166664,7654.596137593442,44044.55696,18890.12658,0.0,Zone A,1,0,0.0,0.02,0,0.0,0.0
2017-01-17,31831.64557,7217.379763126095,44804.05063,21666.83544,0.0,Zone A,1,0,0.0,0.02,0,0.0,0.0
2017-01-18,32860.50632868055,7589.325519143927,45375.18987,21709.36709,0.0,Zone A,1,0,0.0,0.02,1,0.0625,0.015625
2017-01-19,32140.210970208333,8115.966139433559,46092.1519,20962.02532,0.0,Zone A,1,0,0.0,0.02,1,0.0625,0.015625
2017-01-20,31783.164557291668,7331.718834555477,44153.92405,21527.08861,0.0,Zone A,1,0,0.0,0.02,0,0.0,0.0
2017-01-21,31928.016877708335,7427.604971746717,44712.91139,21976.70886,0.0,Zone A,1,0,0.0,0.02,1,0.0625,0.015625
2017-01-22,30921.687763402777,7438.702359254443,43218.22785,20390.88608,0.0,Zone A,1,0,0.0,0.02,0,0.0,0.0
2017-01-23,32505.400843333337,7597.790740719909,45144.3038,21897.72152,0.0,Zone A,1,0,0.0,0.02,0,0.0,0.0
2017-01-24,31583.24894527778,7323.3617475343535,44858.73418,21922.02532,0.0,Zone A,1,0,0.0,0.02,1,0.0625,0.015625
2017-01-25,32303.670886249998,7416.859335824283,44785.82278,22104.3038,0.0,Zone A,1,0,0.0,0.02,1,0.0625,0.015625
2017-01-26,32694.641350416667,7616.077202930475,46055.6962,21867.34177,0.0,Zone A,1,0,0.0,0.02,2,0.125,0.03125
2017-01-27,32296.751054166667,7499.601101543832,45180.75949,21612.1519,0.0,Zone A,1,0,0.0,0.02,0,0.0,0.0
2017-01-28,31298.227847986112,6996.823611168232,43163.5443,20658.22785,0.0,Zone A,1,0,0.0,0.02,1,0.0625,0.015625
2017-01-29,29260.590717638886,6632.728121713986,40678.48101,19224.3038,0.006944444444444444,Zone A,1,0,0.00486111111111111,0.02347222222222222,1,0.0625,0.019097222222222224
2017-01-30,31524.008438819445,7271.204928929015,43704.3038,20755.44304,0.0,Zone A,1,0,0.0,0.02,0,0.0,0.0
2017-01-31,31593.966244652776,6904.101371730359,43534.17722,21982.78481,0.0,Zone A,1,0,0.0,0.02,1,0.0625,0.015625
2017-02-01,31374.194915347223,7216.1931739390675,43913.89831,20513.89831,0.0,Zone A,1,0,0.0,0.02,0,0.0,0.0
2017-02-02,31880.932203333334,7048.406745860857,44225.08475,21532.88136,0.0,Zone A,1,0,0.0,0.02,0,0.0,0.0
2017-02-03,30736.01694923611,6241.022701295606,41772.20339,21349.83051,0.0,Zone A,1,0,0.0,0.02,3,0.1875,0.046875
2017-02-04,30666.610169583335,6503.055414662366,42046.77966,20379.66102,0.0,Zone A,1,0,0.0,0.02,3,0.1875,0.046875
2017-02-05,28260.042373055556,6400.49071106541,39459.66102,18128.13559,0.006944444444444444,Zone A,1,0,0.00486111111111111,0.02347222222222222,2,0.125,0.034722222222222224
2017-02-06,30540.635593125,6762.396230967454,42589.83051,20440.67797,0.0,Zone A,1,0,0.0,0.02,0,0.0,0.0
2017-02-07,30711.864406875,6622.763702599923,41955.25424,20764.0678,0.0,Zone A,1,0,0.0,0.02,0,0.0,0.0
2017-02-08,30636.525423680556,6584.128067991053,42480.0,20764.0678,0.0,Zone A,1,0,0.0,0.02,1,0.0625,0.015625
2017-02-09,30714.025423611114,6596.166503591684,42229.83051,20581.01695,0.0,Zone A,1,0,0.0,0.02,1,0.0625,0.015625
2017-02-10,30708.983051250005,7015.506659422903,44054.23729,21111.86441,0.0,Zone A,1,0,0.0,0.02,0,0.0,0.0
2017-02-11,31052.66949173611,6993.192841834552,43328.13559,20330.84746,0.0,Zone A,1,0,0.0,0.02,1,0.0625,0.015625
2017-02-12,29977.54237298611,7310.059593265847,43810.16949,18726.10169,0.0,Zone A,1,0,0.0,0.02,0,0.0,0.0
2017-02-13,32350.50847479167,7259.675689710079,44731.52542,22167.45763,0.0,Zone A,1,0,0.0,0.02,2,0.125,0.03125
2017-02-14,29677.838983333335,5234.685594358383,39270.50847,22143.05085,0.06944444444444445,Zone A,1,0,0.04861111111111111,0.05472222222222223,2,0.125,0.06597222222222222
2017-02-15,30919.067796944448,6753.551954507951,43383.05085,21752.54237,0.0,Zone A,1,0,0.0,0.02,1,0.0625,0.015625
2017-02-16,31357.966101249996,6618.602372693323,43267.11864,21917.28814,0.0,Zone A,1,0,0.0,0.02,0,0.0,0.0
2017-02-17,31651.271186527778,6707.276516350216,43242.71186,22008.81356,0.0,Zone A,1,0,0.0,0.02,1,0.0625,0.015625
2017-02-18,31432.372881041665,6675.834984927445,42907.11864,21221.69492,0.0,Zone A,1,0,0.0,0.02,1,0.0625,0.015625
2017-02-19,30051.059321666668,7332.187191157415,42858.30508,18835.9322,0.006944444444444444,Zone A,1,0,0.00486111111111111,0.02347222222222222,0,0.0,0.003472222222222222
2017-02-20,32140.25423736111,7730.36565941683,44975.59322,20947.11864,0.0,Zone A,1,0,0.0,0.02,3,0.1875,0.046875
2017-02-21,31934.025422986113,7706.318387472777,44298.30508,21240.0,0.0,Zone A,1,0,0.0,0.02,2,0.125,0.03125
2017-02-22,31783.05084756944,6154.960084716442,42577.62712,21191.18644,0.006944444444444444,Zone A,1,0,0.00486111111111111,0.02347222222222222,3,0.1875,0.050347222222222224
2017-02-23,32610.423729305556,7415.721526619084,44871.86441,21142.37288,0.0,Zone A,1,0,0.0,0.02,2,0.125,0.03125
2017-02-24,31259.95762708333,6712.033788157691,44121.35593,21960.0,0.0,Zone A,1,0,0.0,0.02,1,0.0625,0.015625
2017-02-25,30633.771186597223,6999.467843924449,42925.42373,19928.13559,0.0,Zone A,1,0,0.0,0.02,3,0.1875,0.046875
2017-02-26,30008.008475,6591.922605342727,42290.84746,19555.9322,0.006944444444444444,Zone A,1,0,0.00486111111111111,0.02347222222222222,0,0.0,0.003472222222222222
2017-02-27,31352.118644166665,6854.544760132316,43920.0,21600.0,0.0,Zone A,1,0,0.0,0.02,0,0.0,0.0
2017-02-28,31179.36440680556,6812.397622850874,43834.57627,21709.83051,0.0,Zone A,1,0,0.0,0.02,0,0.0,0.0
2017-03-01,31144.89361673611,6806.912786002315,43861.78723,21924.76596,0.0,Zone A,1,0,0.0,0.02,0,0.0,0.0
2017-03-02,30991.914893611116,6852.292025732736,44793.19149,21820.59574,0.0,Zone A,1,0,0.0,0.02,1,0.0625,0.015625
2017-03-03,31079.957446527776,6656.89728902256,43776.0,21900.25532,0.0,Zone A,1,0,0.0,0.02,0,0.0,0.0
2017-03-04,30998.127659375004,6786.9666363931765,43573.78723,20521.53191,0.0,Zone A,1,0,0.0,0.02,2,0.125,0.03125
2017-03-05,29519.106383611113,6593.449532645389,42188.93617,19314.38298,0.0,Zone A,1,0,0.0,0.02,0,0.0,0.0
2017-03-06,31990.723404166663,6774.6204545747905,44670.6383,22298.55319,0.0,Zone A,1,0,0.0,0.02,0,0.0,0.0
2017-03-07,31124.382978888887,6117.5038756173735,42109.2766,21814.46809,0.0,Zone A,1,0,0.0,0.02,1,0.0625,0.015625
2017-03-08,32635.999999652777,7535.566718105241,46803.06383,21740.93617,0.006944444444444444,Zone A,1,0,0.00486111111111111,0.02347222222222222,0,0.0,0.003472222222222222
2017-03-09,31187.74468125,6193.011421588601,41925.44681,21275.23404,0.0,Zone A,1,0,0.0,0.02,2,0.125,0.03125
2017-03-10,30931.914893263885,6403.726550179014,43285.78723,21262.97872,0.0,Zone A,1,0,0.0,0.02,0,0.0,0.0
